Date,Open,High,Low,Close,Volume
30-Dec-11,25.73,25.88,25.62,25.65,19168853
29-Dec-11,25.67,25.84,25.50,25.80,19249815
28-Dec-11,25.68,25.76,25.33,25.51,25412318
27-Dec-11,26.06,26.20,25.56,25.62,21312429
23-Dec-11,25.80,26.08,25.75,26.06,32292819
22-Dec-11,25.86,25.87,25.38,25.69,44203783
21-Dec-11,25.67,25.99,24.91,25.77,183503963
20-Dec-11,29.06,29.49,28.87,29.17,46428315
19-Dec-11,29.41,29.44,28.50,28.62,24849761
16-Dec-11,29.26,30.07,28.96,29.21,46100675
15-Dec-11,30.14,30.20,28.81,29.03,43170326
14-Dec-11,30.67,30.75,29.75,29.87,26644687
13-Dec-11,31.69,31.90,30.60,30.83,25309961
12-Dec-11,31.40,31.40,30.78,31.32,22536180
9-Dec-11,30.84,31.85,30.81,31.69,22621042
8-Dec-11,31.24,31.50,30.65,30.74,24494352
7-Dec-11,31.29,31.81,30.82,31.54,31366071
6-Dec-11,32.04,32.11,31.54,31.73,21049997
5-Dec-11,31.81,32.24,31.55,31.90,19992252
2-Dec-11,32.00,32.05,31.20,31.20,22391244
1-Dec-11,31.40,31.78,31.14,31.67,22197012
30-Nov-11,30.69,31.46,30.65,31.35,31879532
29-Nov-11,29.93,30.16,29.69,29.74,20155857
28-Nov-11,29.45,30.06,29.36,29.87,21067255
25-Nov-11,28.68,29.33,28.61,28.74,13641476
23-Nov-11,29.50,29.59,28.99,29.00,24399724
22-Nov-11,29.58,29.92,29.27,29.81,25437497
21-Nov-11,30.19,30.35,29.54,29.91,25360435
18-Nov-11,30.73,30.89,30.29,30.60,26601067
17-Nov-11,31.85,32.00,30.47,30.82,41500411
16-Nov-11,32.60,33.06,31.99,31.99,24295297
15-Nov-11,32.21,33.16,32.14,32.96,21397300
14-Nov-11,32.30,32.51,32.08,32.30,16781628
11-Nov-11,32.02,32.76,32.00,32.37,21664788
10-Nov-11,31.94,32.03,31.30,31.73,25303831
9-Nov-11,32.84,32.84,31.44,31.59,36933068
8-Nov-11,33.13,33.76,32.85,33.61,30171408
7-Nov-11,32.39,32.92,31.80,32.87,23980094
4-Nov-11,32.82,32.88,32.12,32.55,23837878
3-Nov-11,32.26,33.15,32.18,33.11,27467144
2-Nov-11,31.96,32.64,31.80,32.28,26470873
1-Nov-11,31.96,32.20,31.62,31.69,31480143
31-Oct-11,33.25,33.37,32.76,32.77,28859958
28-Oct-11,33.50,33.80,33.40,33.69,26333827
27-Oct-11,33.09,33.81,32.95,33.66,35578870
26-Oct-11,32.73,32.76,31.56,32.40,33683545
25-Oct-11,32.92,32.95,32.27,32.37,30540901
24-Oct-11,32.01,32.92,32.01,32.87,27941907
21-Oct-11,31.94,32.25,31.82,32.12,32837704
20-Oct-11,31.59,31.75,30.88,31.53,25102395
19-Oct-11,31.83,32.18,31.25,31.49,25586382
18-Oct-11,31.14,32.00,30.77,31.88,29754803
17-Oct-11,31.59,31.75,30.95,31.23,25074769
14-Oct-11,31.56,31.86,31.27,31.85,23613246
13-Oct-11,30.96,31.30,30.57,31.14,27161512
12-Oct-11,31.37,31.55,31.08,31.11,30322878
11-Oct-11,30.90,31.20,30.73,30.93,25382716
10-Oct-11,30.43,31.03,30.22,30.97,27708202
7-Oct-11,30.05,30.34,29.55,29.91,37977057
