market_type,num,code,company,is_code,is_name,code_yahoo,price_yahoo,code_google,price_google,
코스피,1,095570,AJ네트웍스,126903,산업용 기계 및 장비 임대업,095570.KS,35000,KRX:095570,35000,
코스피,2,068400,AJ렌터카,126901,운송장비 임대업,068400.KS,9410,KRX:068400,9410,
코스피,3,006840,AK홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",006840.KS,71800,KRX:006840,71800,
코스피,4,027410,BGF리테일,074701,종합 소매업,027410.KS,,KRX:027410,,
코스피,5,138930,BNK금융지주,116409,기타 금융업,138930.KS,,KRX:138930,,
코스피,6,001460,BYC,031401,봉제의복 제조업,001460.KS,,KRX:001460,,
코스피,7,001040,CJ,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",001040.KS,,KRX:001040,,
코스피,8,079160,CJ CGV,105901,"영화, 비디오물, 방송프로그램 제작 및 배급업",079160.KS,,KRX:079160,,
코스피,9,000120,CJ대한통운,084903,도로 화물 운송업,000120.KS,,KRX:000120,,
코스피,10,011150,CJ씨푸드,031007,기타 식품 제조업,011150.KS,,KRX:011150,,
코스피,11,097950,CJ제일제당,031007,기타 식품 제조업,097950.KS,,KRX:097950,,
코스피,12,037560,CJ헬로비전,106002,텔레비전 방송업,037560.KS,,KRX:037560,,
코스피,13,000590,CS홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",000590.KS,,KRX:000590,,
코스피,14,139130,DGB금융지주,116409,기타 금융업,139130.KS,,KRX:139130,,
코스피,15,004840,DRB동일,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",004840.KS,,KRX:004840,,
코스피,16,155660,DSR,031309,기타 섬유제품 제조업,155660.KS,,KRX:155660,,
코스피,17,069730,DSR제강,032401,1차 철강 제조업,069730.KS,,KRX:069730,,
코스피,18,017940,E1,074607,기타 전문 도매업,017940.KS,,KRX:017940,,
코스피,19,007700,F&F,031401,봉제의복 제조업,007700.KS,,KRX:007700,,
코스피,20,114090,GKL,189102,유원지 및 기타 오락관련 서비스업,114090.KS,,KRX:114090,,
코스피,21,078930,GS,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",078930.KS,,KRX:078930,,
코스피,22,006360,GS건설,064101,건물 건설업,006360.KS,,KRX:006360,,
코스피,23,001250,GS글로벌,074608,상품 종합 도매업,001250.KS,,KRX:001250,,
코스피,24,007070,GS리테일,074701,종합 소매업,007070.KS,,KRX:007070,,
코스피,25,001500,HMC투자증권,116601,금융지원 서비스업,001500.KS,,KRX:001500,,
코스피,26,175330,JB금융지주,116409,기타 금융업,175330.KS,,KRX:175330,,
코스피,27,001060,JW중외제약,032102,의약품 제조업,001060.KS,,KRX:001060,,
코스피,28,096760,JW홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",096760.KS,,KRX:096760,,
코스피,29,105560,KB금융,116409,기타 금융업,105560.KS,,KRX:105560,,
코스피,30,002550,KB손해보험,116501,보험업,002550.KS,,KRX:002550,,
코스피,31,009440,KC그린홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",009440.KS,,KRX:009440,,
코스피,32,119650,KC코트렐,032901,일반 목적용 기계 제조업,119650.KS,,KRX:119650,,
코스피,33,092220,KEC,032601,반도체 제조업,092220.KS,,KRX:092220,,
코스피,34,109070,KGP,031702,"골판지, 종이 상자 및 종이 용기 제조업",109070.KS,,KRX:109070,,
코스피,35,001390,KG케미칼,032001,기초화학물질 제조업,001390.KS,,KRX:001390,,
코스피,36,001940,KISCO홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",001940.KS,,KRX:001940,,
코스피,37,083420,KPX그린케미칼,032004,기타 화학제품 제조업,083420.KS,,KRX:083420,,
코스피,38,025000,KPX케미칼,032001,기초화학물질 제조업,025000.KS,,KRX:025000,,
코스피,39,092230,KPX홀딩스,137105,"회사본부, 지주회사 및 경영컨설팅 서비스업",092230.KS,,KRX:092230,,
