,adf_1,adf_10,adf_5,adf_statistic,code,company,halflife,hurst
0,-3.46742014325,-2.57545208233,-2.87782605184,-1.5954646142,KRX:095570,AJ네트웍스,16.0692644498,[0.330101354911]
1,-3.43733324447,-2.56841152447,-2.8646229121,-0.677870065579,KRX:068400,AJ렌터카,167.436600252,[0.447337808249]
2,-3.43233616137,-2.56723714795,-2.86241756864,-1.67040902136,KRX:006840,AK홀딩스,368.862553107,[0.503851083879]
3,-3.44354945204,-2.56987048306,-2.86736121176,-1.06865573992,KRX:027410,BGF리테일,156.472887194,[0.471583299988]
4,-3.43233797277,-2.5672375739,-2.86241836873,-1.47804125352,KRX:138930,BNK금융지주,247.205911536,[0.50885094907]
5,-3.43234952216,-2.56724028971,-2.86242347001,-3.04791322853,KRX:001460,BYC,392.485727175,[0.461408584277]
6,-3.43234891096,-2.56724014599,-2.86242320005,-1.8321584574,KRX:001040,CJ,333.62553436,[0.470147595473]
7,-3.43268593891,-2.56731939418,-2.86257205431,-2.53508734305,KRX:079160,CJ CGV,280.1132628,[0.480440969837]
8,-3.43234099913,-2.56723828554,-2.86241970545,-1.80291263437,KRX:000120,CJ대한통운,380.736298478,[0.48038006216]
9,-3.4323367648,-2.56723728985,-2.86241783517,-1.93453423186,KRX:011150,CJ씨푸드,250.734342307,[0.483133563682]
10,-3.43340228107,-2.56748781331,-2.86288838349,-2.11266566575,KRX:097950,CJ제일제당,165.361082056,[0.423055991214]
11,-3.43816814064,-2.56860760195,-2.86499101712,-1.4712687758,KRX:037560,CJ헬로비전,126.569402944,[0.484808141571]
12,-3.43236244442,-2.56724332834,-2.86242917766,-2.65447317266,KRX:000590,CS홀딩스,108.853571805,[0.417288047005]
13,-3.43233314969,-2.56723643976,-2.8624162384,-1.37083956562,KRX:139130,DGB금융지주,278.184135669,[0.504199125607]
14,-3.43233014712,-2.56723573371,-2.86241491218,-1.97576799908,KRX:004840,DRB동일,349.858084369,[0.46559117404]
15,-3.4394018679,-2.56889727515,-2.86553478093,0.486925615516,KRX:155660,DSR,63.7739781566,[0.380701678082]
16,-3.43234891096,-2.56724014599,-2.86242320005,-1.97422616002,KRX:069730,DSR제강,246.672607807,[0.471341792351]
17,-3.43233857731,-2.56723771606,-2.86241863574,-1.06696464128,KRX:017940,E1,579.882270474,[0.558783651583]
18,-3.43233797277,-2.5672375739,-2.86241836873,-2.00275611192,KRX:007700,F&F,372.460891358,[0.502208425507]
19,-3.4344156426,-2.56772601716,-2.86333574402,-1.31866323529,KRX:114090,GKL,185.5561761,[0.416566891923]
20,-3.43259839429,-2.56729880967,-2.86253339032,-1.61770853379,KRX:078930,GS,282.360725675,[0.465003747949]
21,-3.43233857731,-2.56723771606,-2.86241863574,-1.26372940225,KRX:006360,GS건설,368.274100664,[0.470687206885]
22,-3.43236244442,-2.56724332834,-2.86242917766,-2.3387878354,KRX:001250,GS글로벌,163.305449812,[0.499412226945]
23,-3.43639132575,-2.5681902663,-2.86420749891,-1.62182193149,KRX:007070,GS리테일,175.087308247,[0.48462679895]
24,-3.43233797277,-2.5672375739,-2.86241836873,-1.54831073591,KRX:001500,HMC투자증권,283.503580014,[0.514148434789]
25,-3.43244496843,-2.56726273341,-2.86246562721,-1.51154658655,KRX:175330,JB금융지주,390.806459936,[0.502772127695]
26,-3.43235565486,-2.5672417318,-2.86242617877,-2.98212233852,KRX:001060,JW중외제약,119.120938757,[0.467411640931]
27,-3.43340228107,-2.56748781331,-2.86288838349,-3.06583602866,KRX:096760,JW홀딩스,88.9574846578,[0.548890671394]
28,-3.4323295477,-2.56723559276,-2.86241464742,-1.9525580819,KRX:105560,KB금융,221.852586007,[0.443414091672]
29,-3.43232357339,-2.56723418791,-2.86241200859,-1.36365371286,KRX:002550,KB손해보험,399.482965712,[0.458549534206]
30,-3.43235442531,-2.56724144268,-2.86242563569,-1.87397933936,KRX:009440,KC그린홀딩스,297.594401207,[0.545020209911]
31,-3.43453802123,-2.56775478007,-2.86338975929,-2.85873898684,KRX:119650,KC코트렐,83.4719980097,[0.450782592847]
32,-3.43311803885,-2.56742098847,-2.86276287418,-1.32539359261,KRX:092220,KEC,344.63787173,[0.50125312717]
33,-3.43417095712,-2.56766850575,-2.86322773855,2.05211453631,KRX:109070,KGP,-486.876129211,[0.4715646742]
34,-3.43234160551,-2.56723842813,-2.86241997328,-3.42165947166,KRX:001390,KG케미칼,93.4382175803,[0.545361223572]
35,-3.43234464294,-2.56723914238,-2.8624213149,-1.9861729978,KRX:001940,KISCO홀딩스,456.626359371,[0.530390463937]
36,-3.43286469859,-2.56736142495,-2.86265099981,-0.965427609221,KRX:083420,KPX그린케미칼,863.332312632,[0.491437483663]
37,-3.43234160551,-2.56723842813,-2.86241997328,-0.857014347718,KRX:025000,KPX케미칼,387.743765823,[0.453988640176]
38,-3.43310289021,-2.56741742693,-2.86275618485,-1.53651501596,KRX:092230,KPX홀딩스,287.500108264,[0.612311599363]
39,-3.43234403472,-2.56723899935,-2.86242104625,6.95904821062,KRX:000040,KR모터스,-157.766197625,[0.489594580662]
40,-3.43347372456,-2.56750460886,-2.86291992803,-1.23455010514,KRX:044450,KSS해운,438.771278763,[0.511501386233]
41,-3.43233435326,-2.56723672278,-2.86241677001,-2.22281492065,KRX:030210,KTB투자증권,211.916490832,[0.505562073584]
42,-3.4350194973,-2.56786793452,-2.86360225101,-1.62514114004,KRX:058850,KTcs,195.786949366,[0.429895457004]
43,-3.43314405838,-2.5674271058,-2.8627743638,-2.23998421732,KRX:093050,LF,103.448681014,[0.480659656553]
44,-3.43233857731,-2.56723771606,-2.86241863574,-1.11721007893,KRX:003550,LG,571.920691344,[0.45599516399]
45,-3.43258532862,-2.56729573749,-2.86252761978,-2.68245541141,KRX:034220,LG디스플레이,117.597000886,[0.474107446595]
46,-3.43235197074,-2.56724086549,-2.86242455153,-1.22783110657,KRX:001120,LG상사,446.021171875,[0.462367609108]
47,-3.43232536189,-2.56723460847,-2.86241279856,-2.79443779014,KRX:068870,LG생명과학,124.665031699,[0.498548621461]
48,-3.4323367648,-2.56723728985,-2.86241783517,-2.49135662001,KRX:051900,LG생활건강,480.825338505,[0.398977896111]
49,-3.43232476536,-2.5672344682,-2.86241253508,-1.77281820462,KRX:032640,LG유플러스,237.139093282,[0.446647841762]
50,-3.43376045013,-2.56757201199,-2.86304651879,-2.15982517571,KRX:011070,LG이노텍,144.771403796,[0.534917095253]
51,-3.43232297794,-2.56723404789,-2.86241174558,-2.18609417191,KRX:066570,LG전자,198.830857639,[0.489718885818]
52,-3.43406671524,-2.56764400353,-2.86318172296,-1.53082293326,KRX:108670,LG하우시스,239.174151625,[0.451422816599]
53,-3.4323367648,-2.56723728985,-2.86241783517,-1.17243419321,KRX:051910,LG화학,845.40122474,[0.519465835412]
54,-3.47216141089,-2.57655658281,-2.87989542597,-0.877604321435,KRX:079550,LIG넥스원,35.263711258,[0.365423117838]
55,-3.43233857731,-2.56723771606,-2.86241863574,-1.295471942,KRX:006260,LS,532.873016607,[0.471713148164]
56,-3.43537470814,-2.56795140655,-2.86375899577,-2.88962551362,KRX:000680,LS네트웍스,5.75373176194,[0.207443669145]
57,-3.4323295477,-2.56723559276,-2.86241464742,-0.949226334988,KRX:010120,LS산전,793.304702391,[0.4627354677]
58,-3.43234160551,-2.56723842813,-2.86241997328,-1.62933873734,KRX:023150,MH에탄올,340.342611881,[0.464850458475]
59,-3.43392059776,-2.56760965737,-2.86311721948,-1.02580755862,KRX:035420,NAVER,511.206793832,[0.468877526695]
60,-3.44020688181,-2.56908624282,-2.86588947091,0.106143783446,KRX:181710,NHN엔터테인먼트,282.484588828,[0.290217583002]
61,-3.43233074691,-2.56723587475,-2.8624151771,-2.53018752754,KRX:005940,NH투자증권,169.739390694,[0.436355431386]
62,-3.43253820496,-2.56728465702,-2.86250680711,-2.26408765793,KRX:034310,NICE,414.45918008,[0.486375871115]
63,-3.43234039312,-2.56723814304,-2.86241943778,-2.1660861687,KRX:008260,NI스틸,174.491706974,[0.438611344731]
64,-3.43233857731,-2.56723771606,-2.86241863574,-1.58821970271,KRX:010060,OCI,455.693418308,[0.52874807576]
65,-3.43355800758,-2.56752442248,-2.86295714066,-3.09677168866,KRX:100840,S&TC,112.836450432,[0.448688956225]
66,-3.43232834995,-2.56723531111,-2.86241411838,-2.54798689167,KRX:064960,S&T모티브,242.501656034,[0.503576030264]
67,-3.43235197074,-2.56724086549,-2.86242455153,-1.61707754524,KRX:003570,S&T중공업,86.7025333916,[0.475643727981]
68,-3.43234342686,-2.56723885642,-2.86242077776,-2.39129268045,KRX:036530,S&T홀딩스,303.987432522,[0.553096622104]
69,-3.4323355583,-2.56723700614,-2.86241730227,-1.29365372614,KRX:010950,S-Oil,316.344360412,[0.500738856502]
70,-3.43240869397,-2.56725420372,-2.86244960548,-2.86640749669,KRX:034120,SBS,133.37549373,[0.490240714913]
71,-3.43361568171,-2.56753798055,-2.86298260433,-2.15444915496,KRX:101060,SBS미디어홀딩스,152.979666921,[0.510116444987]
72,-3.43234160551,-2.56723842813,-2.86241997328,-2.7435078139,KRX:004060,SG세계물산,170.046632841,[0.494767341075]
73,-3.4328802669,-2.56736508536,-2.862657875,-3.21667051113,KRX:001380,SG충방,92.5260366495,[0.404816495911]
74,-3.43234464294,-2.56723914238,-2.8624213149,-2.13128548657,KRX:002360,SH에너지화학,247.448466708,[0.486217338073]
75,-3.43233314969,-2.56723643976,-2.8624162384,-0.979283899762,KRX:009160,SIMPAC,825.731850007,[0.452736419136]
76,-3.43441311645,-2.56772542342,-2.86333462901,-0.62210528278,KRX:034730,SK,435.021996055,[0.457707232423]
77,-3.43233857731,-2.56723771606,-2.86241863574,-1.49161092958,KRX:011790,SKC,364.001389926,[0.482007512674]
78,-3.43233797277,-2.5672375739,-2.86241836873,-1.35546644608,KRX:018670,SK가스,653.929744631,[0.539031998627]
79,-3.43238309175,-2.56724818348,-2.86243829735,5.33008887715,KRX:001740,SK네트웍스,-69.0300920686,[0.457507644322]
80,-3.45936074928,-2.57357140428,-2.87430158076,-2.3169150218,KRX:210980,SK디앤디,12.1279414533,[0.131104408168]
81,-3.43336707482,-2.56747953662,-2.86287283855,-1.96603922096,KRX:096770,SK이노베이션,119.591694675,[0.438543013796]
82,-3.43233978748,-2.56723800063,-2.86241917027,0.451066139127,KRX:001510,SK증권,1268.59603667,[0.528662385647]
83,-3.43232357339,-2.56723418791,-2.86241200859,-1.35970891319,KRX:006120,SK케미칼,411.478501402,[0.505315471864]
84,-3.43232536189,-2.56723460847,-2.86241279856,-2.45275691006,KRX:017670,SK텔레콤,127.676379931,[0.393065349004]
85,-3.43233074691,-2.56723587475,-2.8624151771,-1.16322275953,KRX:000660,SK하이닉스,444.453636078,[0.509919637211]
86,-3.43239901793,-2.56725192845,-2.86244533173,-1.93849566549,KRX:011810,STX,315.596960074,[0.551379107459]
87,-3.43279146667,-2.56734420654,-2.86261865902,-2.04830572371,KRX:077970,STX엔진,310.2464897,[0.553236079264]
88,-3.43477015031,-2.56780933564,-2.86349220997,1.99239713523,KRX:071970,STX중공업,-179.661099272,[0.464873682265]
89,-3.43233978748,-2.56723800063,-2.86241917027,-1.92558515622,KRX:002710,TCC동양,280.136926853,[0.537050174319]
90,-3.43232297794,-2.56723404789,-2.86241174558,-1.41406168326,KRX:024070,WISCOM,398.161046727,[0.475235458645]
91,-3.4324396129,-2.5672614741,-2.86246326179,-2.17744748235,KRX:037270,YG PLUS,263.444153183,[0.476444299327]
92,-3.4323355583,-2.56723700614,-2.86241730227,-1.50189319678,KRX:000500,가온전선,677.52615643,[0.575320507484]
93,-3.4323355583,-2.56723700614,-2.86241730227,-1.35973019222,KRX:000860,강남제비스코,760.822377615,[0.512957525652]
94,-3.43243096833,-2.56725944139,-2.86245944366,-1.90902115091,KRX:035250,강원랜드,282.341728627,[0.449395344834]
95,-3.43235135803,-2.56724072141,-2.8624242809,-2.30763596274,KRX:011420,갤럭시아에스엠,241.047913164,[0.479763842514]
96,-3.43233375129,-2.56723658123,-2.86241650412,-1.20623817462,KRX:002100,경농,540.284882188,[0.503639093405]
97,-3.43234525154,-2.56723928549,-2.86242158371,-3.28581768521,KRX:009450,경동나비엔,214.270171494,[0.478864631247]
98,-3.43232655603,-2.56723488927,-2.86241332601,-0.596305048322,KRX:012320,경동도시가스,1847.70067801,[0.529806034119]
99,-3.43233918221,-2.5672378583,-2.86241890293,-1.71547934336,KRX:000050,경방,461.027403519,[0.532049071464]
100,-3.46056737261,-2.57385322595,-2.87482980903,3.11964690586,KRX:214390,경보제약,-29.9282520861,[0.374020936312]
101,-3.43234281937,-2.56723871357,-2.86242050944,-1.86909038653,KRX:012610,경인양행,381.444084164,[0.490924614673]
102,-3.43235197074,-2.56724086549,-2.86242455153,-2.14353086177,KRX:009140,경인전자,144.232982435,[0.347019283494]
103,-3.43233797277,-2.5672375739,-2.86241836873,-1.56962157768,KRX:013580,계룡건설산업,421.774724554,[0.474484546186]
104,-3.43232416919,-2.56723432801,-2.86241227176,-2.96470494972,KRX:012200,계양전기,190.717625359,[0.463766415479]
105,-3.43236244442,-2.56724332834,-2.86242917766,-1.5056863742,KRX:004200,고려개발,823.328978728,[0.53940260113]
106,-3.43235565486,-2.5672417318,-2.86242617877,-2.02592121005,KRX:002140,고려산업,281.938773305,[0.458767284974]
107,-3.43233857731,-2.56723771606,-2.86241863574,-1.38849727359,KRX:010130,고려아연,670.399010311,[0.490244556918]
108,-3.43233435326,-2.56723672278,-2.86241677001,-1.40331759851,KRX:002240,고려제강,613.779620404,[0.493497150008]
109,-3.43236182529,-2.56724318276,-2.8624289042,3.60781259277,KRX:009810,고려포리머,-754.132036736,[0.417547732284]
110,-3.43257923247,-2.56729430407,-2.86252492736,-2.73638839715,KRX:001290,골든브릿지증권,136.186443509,[0.513299547331]
111,-3.43233616137,-2.56723714795,-2.86241756864,-1.54139103715,KRX:009290,광동제약,595.820692146,[0.466081366472]
112,-3.4323367648,-2.56723728985,-2.86241783517,-2.12383756314,KRX:017040,광명전기,172.425740189,[0.407836574152]
113,-3.43233435326,-2.56723672278,-2.86241677001,-2.98700734566,KRX:017900,광전자,150.611947443,[0.512053327869]
