Date,Close,High,Low,Open,Volume
2016-05-30,"8,000.00","8,380.00","7,990.00","8,370.00","283,592"
2016-05-27,"8,300.00","8,740.00","8,250.00","8,560.00","411,845"
2016-05-26,"8,560.00","8,750.00","8,180.00","8,280.00","681,174"
2016-05-25,"8,350.00","9,130.00","7,850.00","8,000.00","2,490,826"
2016-05-24,"7,940.00","8,080.00","7,750.00","8,060.00","231,271"
2016-05-23,"8,030.00","8,480.00","7,970.00","8,350.00","316,303"
2016-05-20,"8,180.00","8,240.00","7,710.00","7,800.00","431,250"
2016-05-19,"7,710.00","8,430.00","7,680.00","8,000.00","1,745,314"
2016-05-18,"7,400.00","7,800.00","7,340.00","7,800.00","238,182"
2016-05-17,"7,710.00","8,050.00","7,670.00","7,800.00","284,383"
2016-05-16,"7,870.00","8,750.00","7,870.00","7,960.00","1,986,078"
2016-05-13,"7,890.00","7,920.00","7,680.00","7,680.00","99,297"
2016-05-12,"7,740.00","7,940.00","7,590.00","7,620.00","267,324"
2016-05-11,"7,600.00","7,650.00","7,470.00","7,550.00","60,605"
2016-05-10,"7,580.00","7,580.00","7,230.00","7,230.00","126,851"
2016-05-09,"7,290.00","7,690.00","7,290.00","7,550.00","163,761"
2016-05-04,"7,620.00","7,870.00","7,620.00","7,740.00","198,817"
2016-05-03,"7,760.00","7,790.00","7,630.00","7,670.00","142,528"
2016-05-02,"7,670.00","8,350.00","7,670.00","8,270.00","870,121"
2016-04-29,"7,840.00","7,840.00","7,640.00","7,830.00","123,546"
2016-04-28,"7,790.00","7,930.00","7,590.00","7,590.00","272,306"
2016-04-27,"7,600.00","7,800.00","7,570.00","7,670.00","138,435"
2016-04-26,"7,670.00","7,770.00","7,400.00","7,710.00","227,150"
2016-04-25,"7,710.00","8,100.00","7,700.00","7,910.00","400,582"
2016-04-22,"7,850.00","7,890.00","7,480.00","7,550.00","353,984"
2016-04-21,"7,550.00","7,640.00","7,480.00","7,580.00","74,248"
2016-04-20,"7,560.00","7,690.00","7,500.00","7,600.00","133,409"
2016-04-19,"7,600.00","7,600.00","7,460.00","7,600.00","150,646"
2016-04-18,"7,550.00","7,550.00","7,370.00","7,460.00","138,952"
2016-04-15,"7,480.00","7,530.00","7,250.00","7,250.00","171,002"
2016-04-14,"7,270.00","7,480.00","7,260.00","7,330.00","118,299"
2016-04-12,"7,280.00","7,360.00","7,230.00","7,300.00","118,656"
2016-04-11,"7,240.00","7,480.00","7,240.00","7,400.00","183,986"
2016-04-08,"7,390.00","7,680.00","7,350.00","7,600.00","222,059"
2016-04-07,"7,600.00","8,050.00","7,600.00","7,820.00","725,530"
2016-04-06,"7,690.00","7,750.00","7,480.00","7,540.00","276,935"
2016-04-05,"7,520.00","7,890.00","7,430.00","7,430.00","786,198"
2016-04-04,"7,390.00","7,550.00","7,330.00","7,550.00","144,922"
2016-04-01,"7,430.00","7,740.00","7,330.00","7,360.00","616,876"
2016-03-31,"7,280.00","7,430.00","7,240.00","7,410.00","186,112"
2016-03-30,"7,410.00","7,450.00","7,260.00","7,300.00","149,981"
2016-03-29,"7,260.00","7,670.00","7,260.00","7,500.00","417,795"
2016-03-28,"7,330.00","7,410.00","7,120.00","7,250.00","257,258"
2016-03-25,"7,260.00","7,450.00","7,260.00","7,420.00","114,676"
2016-03-24,"7,320.00","7,470.00","7,210.00","7,330.00","194,518"
2016-03-23,"7,300.00","7,790.00","7,300.00","7,710.00","327,296"
2016-03-22,"7,720.00","8,050.00","7,670.00","8,050.00","349,071"
2016-03-21,"8,010.00","8,080.00","7,540.00","7,930.00","845,593"
2016-03-18,"7,880.00","8,030.00","7,510.00","7,560.00","738,723"
2016-03-17,"7,520.00","7,800.00","7,500.00","7,650.00","306,651"
2016-03-16,"7,700.00","7,920.00","7,370.00","7,410.00","1,086,946"
2016-03-15,"7,410.00","7,630.00","7,410.00","7,560.00","382,475"
2016-03-14,"7,540.00","7,960.00","7,340.00","7,850.00","618,249"
2016-03-11,"7,770.00","7,940.00","7,600.00","7,710.00","783,358"
2016-03-10,"7,610.00","7,890.00","7,500.00","7,830.00","489,553"
2016-03-09,"7,700.00","7,900.00","7,670.00","7,790.00","573,952"
2016-03-08,"7,810.00","8,160.00","7,500.00","8,070.00","1,100,876"
2016-03-07,"7,900.00","8,640.00","7,900.00","8,580.00","1,473,440"
2016-03-04,"8,660.00","8,680.00","8,240.00","8,310.00","1,312,845"
2016-03-03,"8,400.00","8,810.00","8,240.00","8,400.00","1,777,133"
2016-03-02,"8,420.00","8,730.00","8,150.00","8,640.00","1,276,600"
2016-02-29,"8,700.00","9,210.00","8,340.00","8,900.00","3,507,918"
2016-02-26,"8,600.00","9,270.00","8,430.00","9,020.00","3,136,858"
2016-02-25,"9,460.00","11,100.00","9,020.00","10,300.00","10,355,621"
2016-02-24,"9,360.00","9,360.00","9,360.00","9,360.00","410,353"
2016-02-23,"7,200.00","7,200.00","6,360.00","6,680.00","920,316"
2016-02-22,"6,590.00","6,970.00","6,360.00","6,520.00","616,321"
2016-02-19,"6,430.00","6,750.00","6,240.00","6,370.00","450,634"
2016-02-18,"6,400.00","6,570.00","6,030.00","6,120.00","622,145"
2016-02-17,"5,950.00","6,090.00","5,820.00","5,890.00","55,614"
2016-02-16,"5,890.00","6,200.00","5,740.00","5,790.00","37,588"
2016-02-15,"5,800.00","5,800.00","5,410.00","5,410.00","28,763"
2016-02-12,"5,590.00","5,640.00","5,350.00","5,630.00","69,574"
2016-02-11,"5,640.00","5,870.00","5,490.00","5,870.00","93,747"
2016-02-05,"5,880.00","5,980.00","5,850.00","5,900.00","14,923"
2016-02-04,"5,920.00","5,960.00","5,850.00","5,950.00","19,836"
2016-02-03,"5,800.00","5,930.00","5,750.00","5,930.00","27,235"
2016-02-02,"5,880.00","5,970.00","5,760.00","5,940.00","60,528"
2016-02-01,"5,940.00","5,940.00","5,700.00","5,870.00","30,806"
2016-01-29,"5,820.00","5,890.00","5,700.00","5,830.00","49,320"
